cell	time	event	start	end	haplotype	left	right	adjacent_to_terminal
2026-03-22T18:21:38	1	GC-CO	782536	787130	B	het	het	False
2026-03-22T18:21:38	3	GC-NCO	437800	439426	B	het	het	False
2026-03-22T18:21:38	3	GC-NCO	633636	633802	A	het	het	False
2026-03-22T18:21:38	4	CO-terminal	1	33451	B	tel	het	False
2026-03-22T18:21:38	4	CO-terminal	257774	814434	A	het	tel	False
2026-03-22T18:21:38	6	CO-terminal	616952	814434	B	het	tel	False
2026-03-22T18:21:38	8	CO-terminal	464995	814434	A	het	tel	False
2026-03-22T18:21:38	12	GC-NCO	553736	554881	B	het	het	False
2026-03-22T18:21:38	13	CO-terminal	399167	814434	A	het	tel	False
2026-03-22T18:21:38	17	CO-terminal	1	61464	A	tel	het	False
2026-03-22T18:21:38	18	CO-terminal	454245	814434	B	het	tel	False
2026-03-22T18:21:38	19	GC-NCO	427520	431596	A	het	het	False
2026-03-22T18:21:38	19	GC-NCO	547204	550456	B	het	het	False
2026-03-22T18:21:38	20	CO-terminal	573335	814434	B	het	tel	False
2026-03-22T18:21:38	21	GC-CO	697688	701282	A	het	het	False
2026-03-22T18:21:38	32	CO-terminal	271804	814434	A	het	tel	False
2026-03-22T18:21:38	38	GC-CO	73120	74123	A	het	het	False
2026-03-22T18:21:38	38	GC-NCO	385275	385395	B	het	het	False
2026-03-22T18:21:38	42	CO-terminal	1	92942	B	tel	het	False
2026-03-22T18:21:38	42	GC-CO	335143	336278	B	het	het	False
2026-03-22T18:21:38	42	GC-CO	375250	377709	B	het	het	False
2026-03-22T18:21:38	42	CO-terminal	602675	814434	B	het	tel	False
2026-03-22T18:21:38	44	GC-CO	311539	314905	A	het	het	False
2026-03-22T18:21:38	44	CO-terminal	553851	814434	A	het	tel	False
2026-03-22T18:21:38	47	GC-CO	708392	709390	A	het	het	False
2026-03-22T18:21:38	52	GC-NCO	125259	126282	A	het	het	False
2026-03-22T18:21:38	54	GC-NCO	145392	148954	A	het	het	False
2026-03-22T18:21:38	55	CO-terminal	795855	814434	A	het	tel	False
2026-03-22T18:21:38	56	GC-NCO	179850	183145	B	het	het	False
2026-03-22T18:21:38	56	CO-terminal	545405	814434	A	het	tel	False
2026-03-22T18:21:38	59	CO-terminal	1	231340	B	tel	het	False
2026-03-22T18:21:38	59	GC-CO	436444	439618	A	het	het	False
2026-03-22T18:21:38	61	GC-CO	657190	658287	A	het	het	False
2026-03-22T18:21:38	63	GC-CO	112433	117357	B	het	het	False
2026-03-22T18:21:38	64	CO-terminal	1	205224	A	tel	het	False
2026-03-22T18:21:38	67	CO-terminal	1	53460	A	tel	het	False
2026-03-22T18:21:38	68	GC-NCO	98532	98927	B	het	het	False
2026-03-22T18:21:38	68	CO-terminal	321692	814434	A	het	tel	False
2026-03-22T18:21:38	71	GC-NCO	709530	713319	B	het	het	False
2026-03-22T18:21:38	75	CO-terminal	578651	814434	A	het	tel	False
2026-03-22T18:21:38	76	GC-NCO	704037	709028	A	het	het	False
2026-03-22T18:21:38	78	CO-terminal	712933	814434	A	het	tel	False
2026-03-22T18:21:38	82	GC-CO	185479	189020	A	het	het	False
2026-03-22T18:21:38	83	GC-CO	254268	256669	A	het	het	False
