time	event	start	end	haplotype	left	right	adjacent_to_terminal
2026-03-19T16:45:17	GC-CO	67110	71109	B	het	het	False
2026-03-19T16:45:17	GC-NCO	176816	324259	B	het	A	True
2026-03-19T16:45:17	CO-terminal	324260	500000	A	B	tel	False
2026-03-19T16:45:17	GC-NCO	14417	16985	B	het	het	False
2026-03-19T16:45:17	GC-CO	58311	59654	B	het	het	False
2026-03-19T16:45:17	GC-NCO	108193	113087	B	het	het	False
2026-03-19T16:45:17	CO-terminal	418800	500000	B	het	tel	False
2026-03-19T16:45:18	GC-CO	152416	188249	A	het	B	True
2026-03-19T16:45:18	GC-NCO	188250	189172	B	A	A	True
2026-03-19T16:45:18	GC-NCO	189173	270749	A	B	B	True
2026-03-19T16:45:18	CO-terminal	270750	500000	B	A	tel	False
2026-03-19T16:45:18	CO-terminal	1	106113	B	tel	het	False
2026-03-19T16:45:18	GC-NCO	166799	169763	B	het	het	False
2026-03-19T16:45:18	GC-NCO	182176	184262	B	het	het	False
2026-03-19T16:45:18	CO-terminal	337021	500000	B	het	tel	False
2026-03-19T16:45:18	GC-NCO	74516	76768	B	het	het	False
2026-03-19T16:45:18	GC-NCO	144769	147343	B	het	het	False
2026-03-19T16:45:18	GC-CO	164889	171728	A	het	B	True
2026-03-19T16:45:18	GC-NCO	171729	176270	B	A	A	True
2026-03-19T16:45:18	GC-NCO	176271	184129	A	B	B	True
2026-03-19T16:45:18	GC-NCO	184130	186004	B	A	A	True
2026-03-19T16:45:18	GC-NCO	186005	219698	A	B	B	True
2026-03-19T16:45:18	GC-NCO	219699	264521	B	A	A	True
2026-03-19T16:45:18	GC-NCO	264522	309692	A	B	B	True
2026-03-19T16:45:18	GC-NCO	309693	330747	B	A	A	True
2026-03-19T16:45:18	GC-NCO	330748	333252	A	B	B	True
2026-03-19T16:45:18	GC-NCO	333253	339532	B	A	A	True
2026-03-19T16:45:18	GC-NCO	339533	341654	A	B	B	True
2026-03-19T16:45:18	GC-NCO	341655	407966	B	A	A	True
2026-03-19T16:45:18	GC-NCO	407967	410450	A	B	B	True
2026-03-19T16:45:18	CO-terminal	410451	500000	B	A	tel	False
2026-03-19T16:45:18	GC-NCO	5364	8265	B	het	het	False
2026-03-19T16:45:18	GC-CO	98588	101752	B	het	het	False
2026-03-19T16:45:18	GC-NCO	208786	210652	B	het	het	False
2026-03-19T16:45:18	GC-NCO	444263	447252	A	het	het	False
2026-03-19T16:45:18	GC-NCO	492388	496739	A	het	het	False
2026-03-19T16:45:18	GC-NCO	66489	67201	B	het	het	False
2026-03-19T16:45:18	GC-NCO	184007	187634	B	het	het	False
2026-03-19T16:45:18	GC-NCO	253934	255779	B	het	het	False
2026-03-19T16:45:18	CO-terminal	304271	500000	B	het	tel	False
2026-03-19T16:45:19	GC-NCO	17739	19420	A	het	het	False
2026-03-19T16:45:19	GC-NCO	129571	130541	B	het	het	False
2026-03-19T16:45:19	GC-CO	133706	137002	B	het	het	False
2026-03-19T16:45:19	CO-terminal	160415	500000	B	het	tel	False
2026-03-19T16:45:19	GC-NCO	191	2338	A	het	het	False
2026-03-19T16:45:19	GC-CO	77904	82215	B	het	het	False
2026-03-19T16:45:19	CO-terminal	152073	500000	A	het	tel	False
2026-03-19T16:45:19	CO-terminal	1	118541	B	tel	het	False
2026-03-19T16:45:19	GC-NCO	127985	130127	B	het	het	False
2026-03-19T16:45:19	GC-NCO	154570	193761	B	het	A	True
2026-03-19T16:45:19	GC-NCO	193762	293893	A	B	B	True
2026-03-19T16:45:19	GC-NCO	293894	301292	B	A	A	True
2026-03-19T16:45:19	CO-terminal	301293	500000	A	B	tel	False
2026-03-19T16:45:19	GC-NCO	27850	32203	A	het	het	False
2026-03-19T16:45:19	GC-CO	38986	42615	B	het	het	False
2026-03-19T16:45:19	GC-NCO	234006	234171	B	het	het	False
2026-03-19T16:45:19	GC-NCO	271684	273256	B	het	het	False
2026-03-19T16:45:19	GC-NCO	311244	327712	B	het	A	True
2026-03-19T16:45:19	GC-NCO	327713	388245	A	B	B	True
2026-03-19T16:45:19	CO-terminal	388246	500000	B	A	tel	False
2026-03-19T16:45:20	GC-NCO	95105	99577	B	het	het	False
2026-03-19T16:45:20	GC-NCO	101543	106077	B	het	het	False
2026-03-19T16:45:20	GC-CO	221203	223897	B	het	het	False
2026-03-19T16:45:20	CO-terminal	1	17955	A	tel	het	False
2026-03-19T16:45:20	GC-NCO	143038	144075	A	het	het	False
2026-03-19T16:45:20	GC-CO	144362	148289	B	het	het	False
2026-03-19T16:45:20	GC-NCO	178136	180559	B	het	het	False
2026-03-19T16:45:20	GC-NCO	217062	217852	B	het	het	False
2026-03-19T16:45:20	GC-NCO	254604	259061	B	het	het	False
2026-03-19T16:45:20	GC-NCO	314736	316992	B	het	het	False
2026-03-19T16:45:20	CO-terminal	354032	500000	A	het	tel	False
2026-03-19T16:45:20	GC-CO	198380	201316	B	het	het	False
2026-03-19T16:45:20	GC-NCO	246426	246583	B	het	het	False
2026-03-19T16:45:20	GC-NCO	287304	288001	B	het	het	False
2026-03-19T16:45:20	CO-terminal	288643	500000	A	het	tel	False
2026-03-19T16:45:20	GC-NCO	145382	150035	B	het	het	False
2026-03-19T16:45:20	GC-CO	188212	192139	B	het	het	False
2026-03-19T16:45:20	GC-NCO	341448	344603	B	het	het	False
2026-03-19T16:45:20	GC-NCO	442253	446159	B	het	het	False
2026-03-19T16:45:21	CO-terminal	1	27738	A	tel	B	False
2026-03-19T16:45:21	GC-NCO	27739	30456	B	A	A	True
2026-03-19T16:45:21	GC-CO	30457	32550	A	B	het	True
2026-03-19T16:45:21	GC-NCO	133476	136091	B	het	het	False
2026-03-19T16:45:21	GC-NCO	185576	187481	B	het	het	False
2026-03-19T16:45:21	GC-NCO	191976	193360	B	het	het	False
2026-03-19T16:45:21	CO-terminal	350461	500000	A	het	tel	False
2026-03-19T16:45:21	CO-terminal	1	85741	A	tel	het	False
2026-03-19T16:45:21	GC-NCO	98622	99860	B	het	het	False
2026-03-19T16:45:21	GC-NCO	323222	325424	B	het	het	False
2026-03-19T16:45:21	GC-CO	380253	384500	B	het	het	False
2026-03-19T16:45:21	GC-CO	420472	422442	A	het	het	False
2026-03-19T16:45:21	CO-terminal	1	75281	A	tel	het	False
